1714,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-09 16:00,Ⅱ,20.4,8,7.3,276.6,60.6
1751,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-09 20:00,Ⅱ,19.9,8,8.1,275.7,59.2
1788,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-09 20:00,Ⅱ,19.9,8,8.1,275.7,59.2
1825,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-09 20:00,Ⅱ,19.9,8,8.1,275.7,59.2
1862,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
1899,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-10 12:00,"",20.7,8,7.8,277.3,52.1
1936,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-10 16:00,Ⅱ,21.1,8,9,271.4,55.5
1973,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-10 20:00,Ⅱ,20.4,8,8.8,273.8,54.1
2010,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-10 20:00,Ⅱ,20.4,8,8.8,273.8,54.1
2047,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-11 04:00,Ⅱ,19.6,8,6.8,276.4,56.5
2084,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-11 08:00,Ⅱ,19.6,8,6.8,276.9,53
2121,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-11 12:00,Ⅱ,20.7,8,6.4,277.7,67.2
2158,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-11 16:00,Ⅱ,21.1,8,6.5,276,63
2195,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-11 20:00,Ⅱ,20.4,8,7.2,277.1,56.9
2232,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-11 20:00,Ⅱ,20.4,8,7.2,277.1,56.9
2269,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-12 04:00,Ⅱ,19.8,8,6.5,277.3,63.1
2306,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-12 08:00,Ⅱ,19.5,7,6.1,277.1,63.8
