temp,pH,DO,Conductivity,Turbidity,Next_DO
24.7,8,7.5,661.2,6.4,7
24.4,8,7,662.3,12.5,6.75
24.2,8,6.75,662.6,9.5,6.5
24,8,6.5,662.9,6.5,6.2
23.5,8,6.2,669.4,5.4,6.5
24.8,8,6.5,664,5.9,7
25,8,7,662.3,6.2,6.8
24.3,8,6.8,662.8,4.3,6.5
24.05,8,6.5,663.1,4.65,6.2
23.8,8,6.2,663.4,5,5.8
23.5,8,5.8,668.6,4.3,6.5
24.5,8,6.5,664.2,5.3,5.6
24.2,8,5.6,663.4,4.9,5.2
24,8,5.2,663.5,5.4,5.5
24.05,8,5.5,663.9,6.2,5.8
24.1,8,5.8,664.3,7,5.4
24,8,5.4,668.1,6.9,5.8
24.1,8,5.8,659,6.3,5.7
24.6,8,5.7,662.1,6.2,5.9
24.6,8,5.9,663.3,6.9,5.75
24.5,8,5.75,664.35,6.3,5.6
24.4,8,5.6,665.4,5.7,4.7
23.8,8,4.7,667.8,5.5,5.6
24.2,8,5.6,663.8,4.7,5.45
24.1,8,5.45,663.85,5.2,5.3
24,8,5.3,663.9,5.7,5.3
23.8,8,5.3,664.7,7.15,5.3
23.6,8,5.3,665.5,8.6,4.6
23.3,8,4.6,668.8,7.3,5.7
24.8,8,5.7,666.9,5.6,5.6
25,8,5.6,665.9,6.7,5.4
24.7,8,5.4,665.3,6.5,5.35
24.45,8,5.35,665.35,7.5,5.3
24.2,8,5.3,665.4,8.5,4.7
23.8,8,4.7,668.3,8.5,5.5
24.2,8,5.5,665.5,7.4,5.5
24.2,8,5.5,665.8,6.3,5.5
24,8,5.5,665.8,6.4,5.3
23.85,8,5.3,666.95,7.35,5.1
23.7,8,5.1,668.1,8.3,4.4
23.5,8,4.4,671.3,7.4,5.7
24.7,8,5.7,672.3,9.9,5.5
25,8,5.5,670,6.1,5.4
24.2,8,5.4,677.1,4.8,5.4
23.8,7,5.4,676,5.7,4.8
23.5,7,4.8,678.3,6.5,4.4
23.2,7,4.4,681.7,5.8,5.7
24.3,7,5.7,681.3,8.6,6.1
24.2,8,6.1,679.7,6.8,5.4
24,7,5.4,678.3,6,5.2
23.8,7,5.2,678.7,7.1,5.1
23.7,7,5.1,678.5,6.4,4.7
23.4,7,4.7,681.1,7.4,5.5
24,7,5.5,677.7,6.3,6.5
24.7,8,6.5,677.3,7.2,6.5
24.6,8,6.5,676.2,5.4,6.3
24.2,8,6.3,676.4,9.6,6
24,8,6,676.8,9.7,5.3
23.7,7,5.3,679.5,6.9,6.6
24.8,8,6.6,677.6,9.5,6.5
26,8,6.5,675.8,6.4,6.4
25.4,8,6.4,674.7,6.5,6.3
24.9,8,6.3,675.3,9.8,6.1
24.6,8,6.1,677.4,8.4,5.5
24.3,7,5.5,681.4,6.8,6.1
25.9,8,6.1,680.9,5.6,6.9
28.3,8,6.9,679.1,6.3,6.6
27.1,8,6.6,677.6,5,6.3
26.5,8,6.3,677.4,9.9,6.1
25.8,8,6.1,678,10.6,5.4
25.4,7,5.4,680.8,7.7,6.4
25.6,8,6.4,677.8,7.5,6.7
25.9,8,6.7,678,5.3,6.5
25.4,8,6.5,679,7.4,6.4
25,8,6.4,678,7.2,5.7
24.7,7,5.7,684.1,8.1,5.2
24.6,7,5.2,686.8,6.2,6.6
26.2,8,6.6,685.2,6.9,6.8
27.5,8,6.8,681.3,5.9,7
26.9,8,7,678.4,5.5,6.7
26.2,8,6.7,678.5,6.6,6.7
25.8,8,6.7,678.9,7.3,6.3
25.4,8,6.3,688.6,7.7,6.8
27.1,8,6.8,686.8,7.5,7.5
28.5,8,7.5,691.8,7.8,7.1
27.2,8,7.1,685.9,6.8,6.7
26.6,8,6.7,685.8,6.7,6.8
26.4,8,6.8,688.1,6.5,6.3
26.2,8,6.3,691.5,5.9,7.2
27.6,8,7.2,696.2,6.8,7.9
28.6,8,7.9,704.4,8.8,7.3
26.7,8,7.3,692.3,8.2,6.5
26.1,8,6.5,687.8,6.7,6.3
25.8,8,6.3,689.5,6.5,5.7
25.2,8,5.7,692.8,6.2,6.6
25.5,8,6.6,702.7,7.6,6.4
25.5,8,6.4,697.6,6.5,6.2
25.3,8,6.2,696.8,5.6,5.7
25.2,8,5.7,696.1,6.4,5.7
25.1,8,5.7,689,7,5.3
25,8,5.3,690.6,5.9,6.2
25.9,8,6.2,689.5,5.2,7.1
26.8,8,7.1,688.2,5.8,6.7
26.5,8,6.7,688.2,5.8,6.5
26,8,6.5,688.1,8,6.2
25.6,8,6.2,688.7,8.1,5.7
25.4,8,5.7,690.4,6.8,6.45
26.9,8,6.45,690.05,7.1,7.2
28.4,8,7.2,689.7,7.4,6.9
27.4,8,6.9,688.8,10.1,6.9
26.7,8,6.9,693.25,8.8,6.9
26,8,6.9,697.7,7.5,6.3
25.8,8,6.3,698.4,7.5,7.3
26.2,8,7.3,708.5,8.6,7.1
26.6,8,7.1,732.2,8,6.2
25.8,8,6.2,711.6,5.3,5.5
25.4,8,5.5,718.6,6.1,5.1
25.3,7,5.1,701.9,6.5,5.5
24.9,8,5.5,737.4,12.1,5.1
24.8,7,5.1,709,10.3,5.1
25.1,7,5.1,707,7.4,5.4
25,8,5.4,692.9,8,5.2
24.9,7,5.2,697.7,7.2,5.1
24.7,7,5.1,701.4,8.6,5.4
25.25,7.5,5.4,701,7.4,5.7
25.8,8,5.7,700.6,6.2,7.6
26.1,8,7.6,694.3,6.9,7.1
25.8,8,7.1,691.2,5.7,6.6
25.4,8,6.6,692.4,8.5,6.9
25.2,8,6.9,693.4,8.8,7
25,8,7,702.45,8.45,7.1
24.8,8,7.1,711.5,8.1,7.1
24.8,8,7.1,717.3,7.4,6.5
24.4,8,6.5,736.6,11.8,6.25
24.2,8,6.25,740.3,12.05,6
24,8,6,744,12.3,5.4
23.8,8,5.4,748.4,9.8,7
26,8,7,734.6,8.1,7
25.9,8,7,716.9,9.4,7.6
25.2,8,7.6,702.6,9,7.6
24.7,8,7.6,702.5,8.4,7.6
24.3,8,7.6,708.1,7.9,7.3
24.2,8,7.3,720.3,6.4,8.5
25.6,8,8.5,720.3,6.2,9.4
26.7,8,9.4,722.6,8.3,10.8
25.2,8,10.8,723.6,7.9,10.55
24.6,8,10.55,737.1,8.3,10.3
24,8,10.3,750.6,8.7,9.6
23.8,8,9.6,750.7,7.7,10.35
24.9,8,10.35,756.45,9.6,11.1
26,8,11.1,762.2,11.5,9.9
25.6,8,9.9,767.8,11.3,8.8
25.2,8,8.8,766,11.2,8.3
24.9,8,8.3,775.1,12.8,7.9
24.7,8,7.9,773,8.5,9
26.5,8,9,789.3,10.4,9.1
28.2,8,9.1,785.1,8.7,8.9
27.4,8,8.9,763.9,6.4,8.5
27,8,8.5,763.4,12.4,8.3
26.6,8,8.3,734.6,9.3,8.4
26.4,8,8.4,733.8,8.9,8.5
26.2,8,8.5,733,8.5,8.6
26,8,8.6,738.75,8.6,8.7
25.8,8,8.7,744.5,8.7,8.2
25.5,8,8.2,748.1,9.6,7.9
25.3,8,7.9,747,8.8,8.4
26.15,8,8.4,737.1,7.7,8.9
27,8,8.9,727.2,6.6,8.6
28.8,8,8.6,715.9,6.7,8.2
28,8,8.2,707.1,6.5,7.9
27.35,8,7.9,702.35,8.85,7.6
26.7,8,7.6,697.6,11.2,7.2
26.7,8,7.2,689.7,7,7.8
28.5,8,7.8,684.9,7.2,8.1
29,8,8.1,677.1,8.9,7.9
28.5,8,7.9,675.3,11.6,7.65
28.15,8,7.65,673.25,10.5,7.4
27.8,8,7.4,671.2,9.4,6.9
27.3,8,6.9,670.6,7.1,7.9
28.3,8,7.9,682.1,10,8.6
29,8,8.6,706.2,9,8.7
28.3,8,8.7,718,10.2,8.3
27.85,8,8.3,720.4,10.8,7.9
27.4,8,7.9,722.8,11.4,7.4
27.4,8,7.4,730.8,10.2,8.5
28.9,8,8.5,732.7,11.5,8.9
31.1,8,8.9,725.2,9.3,8.3
29,8,8.3,714.4,7.1,8
28.65,8,8,709.7,7.3,7.7
28.3,8,7.7,705,7.5,7.4
28,8,7.4,725.8,9.5,7.7
29.3,8,7.7,725.3,8.9,8.3
29.5,8,8.3,752.7,9.6,7.6
28.9,8,7.6,766.8,11.1,7.25
28.65,8,7.25,773.55,11.35,6.9
28.4,8,6.9,780.3,11.6,6.6
28.2,8,6.6,784,8.2,7.4
29.6,8,7.4,776,9.8,8.3
31,8,8.3,833,10.2,11.5
22.4,9,11.5,381.1,27.8,10
22.05,8.5,10,386.6,26.8,8.5
21.7,8,8.5,392.1,25.8,6.2
21.2,8,6.2,397.4,25.6,10.4
23.2,8,10.4,395.1,21,15.5
24.3,9,15.5,384.7,17.6,13.3
22.8,9,13.3,384.8,21.2,9.55
22,8.5,9.55,391.15,22.8,5.8
21.2,8,5.8,397.5,24.4,4.5
20.8,7,4.5,410.4,17.4,7.1
22.6,8,7.1,413.4,18,10.8
24.7,8,10.8,411.5,17.4,11.3
23.7,8,11.3,435,24.4,10.1
22.8,8,10.1,434,27.05,8.9
21.9,8,8.9,433,29.7,7
21.3,8,7,428.1,23.8,10.9
22.9,8,10.9,423.7,26,12.1
24.3,8,12.1,418.9,21.7,11.4
23.8,9,11.4,417.2,22.4,11.2
22.9,8,11.2,415.7,34,9
22.2,8,9,418.2,33.5,6.8
21.5,8,6.8,420.7,33,8.7
22.7,8,8.7,424,28.6,12
24.1,8,12,419.4,26.6,10.5
22.8,8,10.5,419.2,29.9,8
21.8,8,8,424.9,28.9,5.95
21.3,7.5,5.95,436.75,26.4,3.9
20.8,7,3.9,448.6,23.9,5.7
21.8,7,5.7,462.1,25.5,4.8
21.5,7,4.8,455.6,22.6,3.9
21.2,7,3.9,449.1,19.7,3.8
20.9,7,3.8,452.05,21.55,3.7
20.6,7,3.7,455,23.4,3
20.2,7,3,461.3,21.3,3.85
20.55,7,3.85,457.7,20.6,4.7
20.9,7,4.7,454.1,19.9,4.2
20.5,7,4.2,448,17.8,4.2
20.25,7,4.2,452.8,20.05,4.2
20,7,4.2,457.6,22.3,3.8
19.6,7,3.8,463.6,19.8,5
20.1,7,5,457.8,20.7,0.2
21.4,9,0.2,1359.3,392.1,4.3
20,7,4.3,465.7,17.4,4
19.7,7,4,469.1,19.1,4
19.7,7,4,469.1,19.1,3.7
19.4,7,3.7,472.5,20.8,4.8
20.6,7,4.8,470.1,16.3,6.2
21.5,8,6.2,468.7,15.9,7.2
21.3,8,7.2,463.8,21.8,6.8
20.8,8,6.8,462.7,20.8,6.6
20.6,8,6.6,462.9,28.5,7.35
21.5,8,7.35,460.35,24.35,8.1
22.4,8,8.1,457.8,20.2,11.9
22.4,8,11.9,452.6,21,9.7
21.6,8,9.7,452.8,18.4,8.2
21,8,8.2,450.7,20.8,6.7
20.4,8,6.7,448.6,23.2,5.5
20,7,5.5,448.9,20,8.5
22,8,8.5,451.1,22.6,10.3
23.5,8,10.3,477.8,22.4,10.5
22.6,8,10.5,498.9,21.8,9.65
21.9,8,9.65,500.6,25.35,8.8
21.2,8,8.8,502.3,28.9,7.5
20.7,8,7.5,500.7,26.8,7.3
21.5,8,7.3,500.9,28,8.9
22.8,8,8.9,522.9,20.4,7.3
21.7,8,7.3,520.7,25.4,5.4
21.25,7.5,5.4,516.7,25,5.4
21.25,7.5,5.4,516.7,25,5.4
21.25,7.5,5.4,516.7,25,3.5
20.8,7,3.5,512.7,24.6,3.2
21.2,7,3.2,506.9,24.9,4.6
21,7,4.6,504.2,25.7,4.8
20.9,7,4.8,529.7,24.4,3.8
20.5,7,3.8,513.7,19.3,3.75
21.3,7,3.75,509.05,19.6,3.7
22.1,7,3.7,504.4,19.9,7.1
22.9,8,7.1,517.2,24.6,5.7
21.3,8,5.7,523.3,21.8,7.9
22,8,7.9,611.7,20.7,8
22.1,8,8,630,22,7.2
21.8,8,7.2,641.8,23,8.6
23.5,8,8.6,650.1,19.6,10.2
23.2,8,10.2,603.1,19.8,9.2
23.1,8,9.2,611.8,15.7,8.2
22.5,8,8.2,602.9,16.2,7.9
22.3,8,7.9,599.2,20.9,7.5
22.3,8,7.5,578.25,22.95,7.1
22.3,8,7.1,557.3,25,9.4
22.8,8,9.4,623.6,17.7,8.9
22.4,8,8.9,619.5,18,8.6
22.1,8,8.6,589.8,19.1,7.4
21.55,8,7.4,586.5,20.3,6.2
21,8,6.2,583.2,21.5,5.7
21.2,8,5.7,594.7,26.4,5.5
21,8,5.5,601.7,24.5,4.9
20.8,8,4.9,611.8,22.9,4.1
20.6,7,4.1,607.1,23.9,4.1
20.4,7,4.1,609.1,26.4,3.3
20,7,3.3,614,22.9,3.8
20.05,7,3.8,609.9,21.7,4.3
20.1,7,4.3,605.8,20.5,4.1
19.8,7,4.1,603.9,21.8,3.9
19.65,7,3.9,610.65,21.65,3.7
19.5,7,3.7,617.4,21.5,3.1
19.2,7,3.1,622,20.5,4.1
19.5,7,4.1,620.1,20.2,3.95
19.35,7,3.95,616.7,19.3,3.8
19.2,7,3.8,613.3,18.4,3.75
19.05,7,3.75,614.1,19.9,3.7
18.9,7,3.7,614.9,21.4,3.3
18.5,7,3.3,618.1,20.4,3.9
18.7,7,3.9,625.2,20.6,4
18.5,7,4,628.4,19,3.8
18.3,7,3.8,633.1,21.7,3.7
18.2,7,3.7,634.55,21.95,3.6
18.1,7,3.6,636,22.2,3.1
17.9,7,3.1,634.6,20.9,4.5
19.1,7,4.5,626.7,19.2,5.6
19.7,8,5.6,578.8,12.8,5.2
18.8,7,5.2,590.2,19.4,5.1
18.4,7,5.1,593.8,21,5
18,7,5,597.4,22.6,4.1
17.7,7,4.1,607.1,18.6,5
18,7,5,615.6,20.5,5.5
18,8,5.5,611.7,19.6,5.1
17.8,7,5.1,614.5,19.2,4.7
17.65,7,4.7,622.65,19.6,4.3
17.5,7,4.3,630.8,20,3.5
17.1,7,3.5,625,19.9,4.5
17.8,7,4.5,606.1,25.1,4.7
17.9,7,4.7,613.6,21.5,4.6
17.4,7,4.6,609.2,23.7,4.3
17.25,7,4.3,606.2,25.5,4
17.1,7,4,603.2,27.3,3.3
16.9,7,3.3,603.1,22.5,4.2
17,7,4.2,586.3,30.8,4.3
17,7,4.3,586.6,24.4,4.1
16.9,7,4.1,590.9,22.6,4.05
16.85,7,4.05,580.6,23.35,4
16.8,7,4,570.3,24.1,3.6
16.5,7,3.6,568.7,26.6,4.2
16.4,7,4.2,556.9,26.2,4.3
16.2,7,4.3,547.8,25.55,4.4
16,7,4.4,538.7,24.9,4.4
15.75,7,4.4,533.6,26.55,4.4
15.5,7,4.4,528.5,28.2,3.7
15.2,7,3.7,527.3,23.4,5
16.8,7,5,557,21.6,5.2
16.45,7,5.2,563.8,21.2,5.4
16.1,7,5.4,570.6,20.8,5.2
15.7,7,5.2,572.7,22,4.8
15.35,7,4.8,582.55,21.45,4.4
15,7,4.4,592.4,20.9,5.6
15.8,7,5.6,605,22.8,6.2
16,8,6.2,602.3,19.6,5.9
15.4,7,5.9,598.1,20.8,5.8
15.15,7,5.8,599.7,21.75,5.7
14.9,7,5.7,601.3,22.7,4.9
14.5,7,4.9,598,20.3,6.2
15.5,7,6.2,599.8,16.7,6.9
15.5,8,6.9,591.9,23.1,6.4
15,8,6.4,586.3,20.2,6.3
14.7,7.5,6.3,587.25,20.4,6.2
14.4,7,6.2,588.2,20.6,5.6
14,7,5.6,589.3,18.9,6.8
15.9,8,6.8,588.7,17.8,7
15.4,8,7,585.3,15,6.7
14.8,8,6.7,587.5,16.4,6.65
14.5,8,6.65,592.75,16.65,6.6
14.2,8,6.6,598,16.9,5.9
13.8,7,5.9,612.2,15.6,7.2
15.4,8,7.2,603.7,15.4,8.8
16.1,8,8.8,604.9,15.6,8.7
15,8,8.7,613.3,17.6,8.05
14.7,8,8.05,615.1,15.3,7.4
14.4,8,7.4,616.9,13,6.2
13.9,8,6.2,621.9,12.2,7.8
15.3,8,7.8,616.4,12.5,8.7
15.8,8,8.7,614.6,10.5,8.4
16,8,8.4,611.2,9.7,8.05
15.3,8,8.05,610.65,12.55,7.7
14.6,8,7.7,610.1,15.4,6.8
14.1,8,6.8,616.8,13.7,8.6
15.6,8,8.6,590.8,14.1,9.3
17,8,9.3,585.4,16.8,9.5
15.9,8,9.5,578.4,17.2,9
15.45,8,9,579.5,18.8,8.5
15,8,8.5,580.6,20.4,7.5
14.5,8,7.5,597.4,15.9,8.8
15.8,8,8.8,566.2,15.8,9.8
16.8,8,9.8,553.5,15.1,11.1
15.5,8,11.1,565.7,17.4,9.8
15,8,9.8,596.7,16.1,9.6
14.6,8,9.6,596.1,15.2,8.8
14.2,8,8.8,606.2,11.6,9.5
15.1,8,9.5,604.3,11.3,9.9
15.1,8,9.9,599.5,11.6,9.5
14.9,8,9.5,613.4,11.4,8.6
14.6,8,8.6,637.9,13.2,7.8
14.5,8,7.8,667.8,13.5,7.5
14.75,8,7.5,697.85,12.15,7.2
15,8,7.2,727.9,10.8,7.6
15.4,8,7.6,725.4,11.4,6.6
15.2,8,6.6,734.5,9.4,6.3
15.1,8,6.3,735.5,10.6,6.1
15,8,6.1,744.6,10,5.5
14.4,8,5.5,760.7,9.7,6.25
15.3,8,6.25,747.65,9.65,7
16.2,8,7,734.6,9.6,6.5
15.5,8,6.5,752.5,10,6.35
15.25,8,6.35,747.9,10.4,6.2
15,8,6.2,743.3,10.8,5.5
14.4,7,5.5,747.9,10.6,6.6
15.1,8,6.6,746.6,9.4,6.8
14.95,8,6.8,740.1,9.9,7
14.8,8,7,733.6,10.4,6.85
14.85,8,6.85,723.45,13.3,6.7
14.9,8,6.7,713.3,16.2,6
14.1,8,6,749.4,16.5,6.9
15.2,8,6.9,741.5,14.7,7.6
15.2,8,7.6,741.1,12.3,7.2
14.9,8,7.2,749.5,11.4,7
14.55,8,7,768.45,13.05,6.8
14.2,8,6.8,787.4,14.7,5.4
13.7,8,5.4,864.3,16.3,5.7
14.4,8,5.7,877.4,19.9,5.5
14.5,8,5.5,899.1,15.9,5.3
14.4,8,5.3,898.1,15.2,5.15
14.3,8,5.15,896.15,16.6,5
14.2,8,5,894.2,18,4.5
13.5,7,4.5,913.4,15.4,5.1
14,8,5.1,879.4,16.9,5
14,8,5,889,15.3,5
13.8,8,5,876.6,15.6,5
13.7,8,5,871.2,17.8,5.1
13.6,8,5.1,873.9,17.5,4.5
12.8,7,4.5,903,16.2,5
13.3,8,5,852.5,18.7,5.1
13.3,8,5.1,853.6,18.7,5.1
13.1,8,5.1,853.3,18.4,5.05
13.05,8,5.05,853.1,18.25,5
13,8,5,852.9,18.1,4.5
12.2,7,4.5,888.6,14.9,5.4
13.4,8,5.4,857.2,15.3,5.9
13.5,8,5.9,865.6,13.6,5.3
13,8,5.3,881.6,15,5.5
12.7,8,5.5,891.2,15.8,5.4
12.4,8,5.4,888.4,16.1,4.9
11.8,7,4.9,908.8,14.4,6
13,8,6,888.2,16.2,6.6
13.2,8,6.6,884,12.7,6.5
12.7,8,6.5,880.4,15.8,6.4
12.4,8,6.4,880.9,19.2,6.4
12.3,8,6.4,880,18.4,6
11.6,8,6,900.2,17.7,6.8
13.1,8,6.8,876.8,14.4,6.9
12.75,8,6.9,873.95,15.8,7
12.4,8,7,871.1,17.2,6.8
12,8,6.8,876.6,15.4,6.65
11.5,8,6.65,889.65,14.9,6.5
11,8,6.5,902.7,14.4,7.1
12.6,8,7.1,883,15.5,7.05
12.35,8,7.05,879,14.55,7
12.1,8,7,875,13.6,7
11.7,8,7,879,14.3,7
11.3,8,7,883,15,6.7
10.5,8,6.7,908.8,14.4,7.4
12.4,8,7.4,853.7,14.1,8.3
13,8,8.3,746.6,19.4,8.2
12.2,8,8.2,759.3,18.4,7.9
11.65,8,7.9,793.35,16.8,7.6
11.1,8,7.6,827.4,15.2,7.2
10.4,8,7.2,886.7,12.7,7.8
11.5,8,7.8,866.2,11.2,8.1
11.7,8,8.1,832,14.2,7.7
11.2,8,7.7,864.8,12.9,7.55
11,8,7.55,878.6,12.65,7.4
10.8,8,7.4,892.4,12.4,7
10.2,8,7,919.6,12.3,7.5
11.9,8,7.5,899.7,11,7.5
12.6,8,7.5,900.5,9.7,7.7
11.8,8,7.7,857.2,14,7.55
11.25,8,7.55,867.75,12.95,7.4
10.7,8,7.4,878.3,11.9,6.9
10,8,6.9,932.2,11,7.4
11.1,8,7.4,909.4,14.2,7.5
11.8,8,7.5,908.8,11.2,7.3
11,8,7.3,913.4,12.2,7.1
10.7,8,7.1,915.6,10.6,7.1
10.4,8,7.1,914.2,11.2,6.9
9.8,8,6.9,943.5,11.4,7.5
11.4,8,7.5,918,10.5,7.6
12,8,7.6,908.4,9.7,7.5
11.5,8,7.5,914.6,9.8,7.5
11,8,7.5,916.1,10.3,7.3
10.8,8,7.3,911.4,11.3,7.2
9.9,8,7.2,935.3,10,7.7
11.5,8,7.7,908.7,9.4,7.8
11.8,8,7.8,897.6,9.7,7.8
11.1,8,7.8,893.2,9.6,7.7
10.7,8,7.7,889.9,10,7.6
10.4,8,7.6,886.5,9.9,7.7
9.5,8,7.7,922.4,11.4,8
10.4,8,8,965.1,14.3,8.1
10.8,8,8.1,976,12.9,8
10.5,8,8,936,11.7,7.8
10.4,8,7.8,923.7,10.2,7.9
10.2,8,7.9,919.7,10.3,7.7
9.5,8,7.7,943.4,9.8,8
10.2,8,8,870.1,12.1,8.4
10.3,8,8.4,866.8,10.8,8.1
10.2,8,8.1,902.6,9.7,8.2
9.8,8,8.2,883.5,10.3,8.1
9.5,8,8.1,899.3,9.8,8
8.7,8,8,931.3,8.8,8.6
10.5,8,8.6,887.3,8.8,8.5
11.1,8,8.5,868.8,8,8.4
10.7,8,8.4,849.6,7.4,8.3
10.5,8,8.3,857.3,7,8.2
10.2,8,8.2,854.2,7.9,8.2
9.3,8,8.2,867.9,7.8,8.2
10,8,8.2,833.1,6.8,8.5
10,8,8.5,767.8,7,8.6
9.9,8,8.6,737.6,6.5,8.5
9.8,8,8.5,724,6.7,8.5
9.7,8,8.5,709.4,6.9,8.5
9,8,8.5,725.7,6.8,8.8
9.8,8,8.8,704.9,6.7,8.9
10,8,8.9,704.1,7,9
9.7,8,9,723.1,7,9.1
9.5,8,9.1,706.3,7.1,9.1
9.4,8,9.1,687.2,7.2,9.2
8.8,8,9.2,701.8,6.7,9.7
9.9,8,9.7,671.8,6.6,10.1
10,8,10.1,702.4,7.5,10.2
10,8,10.2,806.7,8.3,10
9.6,8,10,767.7,9.3,9.5
9.2,8,9.5,729.1,8.8,9.8
8.2,8,9.8,789.4,8.9,10.6
9.9,8,10.6,857.4,7.5,11
10.2,8,11,900.9,10.1,10.6
9.8,8,10.6,941.3,10.9,10.3
9.4,8,10.3,925.4,10,9.9
9,8,9.9,870.4,9.8,9.8
8.1,8,9.8,883.6,9.4,10.1
9.7,8,10.1,838.8,10.5,10.5
10.4,8,10.5,838.4,11.9,10.3
9.8,8,10.3,844.8,10.3,9.9
9.5,8,9.9,840.4,10.9,9.5
9.5,8,9.5,806.9,12,9.5
8.8,8,9.5,814.6,12.1,9.7
9.8,8,9.7,744,12.5,10.7
9.9,8,10.7,854,9.4,10.6
9.6,8,10.6,862.8,9.4,10.1
9.2,8,10.1,804,10.2,9.9
8.8,8,9.9,785.1,10.2,10.2
