temp,pH,DO,Conductivity,Turbidity,Next_DO
11.8,8,9.6,844.8,6.6,9.6
11.6,8,9.6,864,7.4,9.6
11.4,8,9.6,883.2,8.2,9.9
10.6,8,9.9,909.6,6.6,9.6
11.2,8,9.6,887.7,7.7,9.8
11.4,8,9.8,884,7.2,9.7
11.2,8,9.7,884,7.6,9.65
10.95,8,9.65,887.45,7.75,9.6
10.7,8,9.6,890.9,7.9,9.6
9.9,8,9.6,921.1,7.2,9.7
11.5,8,9.7,902.9,7,9.8
12.4,8,9.8,901.7,6,9.7
11.5,8,9.7,905.7,6.4,9.6
11.05,8,9.6,908.5,6.4,9.5
10.6,8,9.5,911.3,6.4,9.7
9.8,8,9.7,944.3,5.9,9.7
11.2,8,9.7,922.2,5.5,9.8
11.9,8,9.8,919.2,6.7,9.7
11.4,8,9.7,922,6.6,9.6
11,8,9.6,918.95,6.2,9.5
10.6,8,9.5,915.9,5.8,9.7
9.7,8,9.7,952,5.2,9.7
11,8,9.7,960.6,7.9,9.5
11.6,8,9.5,1082,8.4,9
11.1,8,9,1103.1,7.7,9.1
10.85,8,9.1,1071.55,7.65,9.2
10.6,8,9.2,1040,7.6,8.9
10,8,8.9,1110.9,7.1,9.2
11.1,8,9.2,1050.5,8.7,9.1
11.9,8,9.1,1059.6,7.9,8.7
11.7,8,8.7,1073.2,8.4,8.7
11.6,8,8.7,1071.15,7.8,8.7
11.5,8,8.7,1069.1,7.2,9.1
10.8,8,9.1,1076.9,7.7,8.8
11.5,8,8.8,1055.8,7.8,8.8
11.6,8,8.8,1061.6,7,8.9
11.5,8,8.9,1062.4,6.3,8.9
11.35,8,8.9,1061.1,7.15,8.9
11.2,8,8.9,1059.8,8,8.8
10.6,8,8.8,1098.4,6.8,8.6
11.1,8,8.6,1075,6.6,8.9
11.2,8,8.9,1053.2,6.6,8.7
11.1,8,8.7,1044.4,7.1,8.75
11.05,8,8.75,1033.7,7.4,8.8
11,8,8.8,1023,7.7,8.8
10.3,8,8.8,1044.5,6.1,8.9
10.8,8,8.9,1008,6.2,9.1
11,8,9.1,1000.7,6.2,9.1
10.8,8,9.1,990.4,6.8,9
10.75,8,9,985.95,6.7,8.9
10.7,8,8.9,981.5,6.6,9
10.1,8,9,1008.9,5.8,9.3
11.1,8,9.3,962.5,6.6,9.3
11.4,8,9.3,965.2,7.1,9.2
11.2,8,9.2,992.4,8.1,9.15
10.95,8,9.15,995.3,7.45,9.1
10.7,8,9.1,998.2,6.8,9
10,8,9,1031.6,6.4,9.3
11.7,8,9.3,1000.9,7.6,9.4
12.7,8,9.4,962.8,7.6,9.4
11.5,8,9.4,941.3,8.4,9.35
11.2,8,9.35,936.45,7.6,9.3
10.9,8,9.3,931.6,6.8,9.4
10.1,8,9.4,954.2,6.1,9.5
11.2,8,9.5,935.6,5.6,9.6
11.1,8,9.6,928.3,6.7,9.5
11.1,8,9.5,913.1,5.4,9.5
10.9,8,9.5,915.7,5.5,9.5
10.7,8,9.5,918.3,5.6,9.7
9.9,8,9.7,952.2,5.7,9.6
10.6,8,9.6,940.7,5.7,9.8
10.9,8,9.8,948.4,5.1,9.6
10.7,8,9.6,951,5.5,9.55
10.5,8,9.55,945.65,5.25,9.5
10.3,8,9.5,940.3,5,9.8
9.5,8,9.8,967.9,4.3,9.8
10.7,8,9.8,964,5.9,9.8
10.7,8,9.8,973.4,5.9,9.6
10.6,8,9.6,979.7,5.5,9.55
